# URI 2026 Dual Actuator TVC Experiment
# Mode: Circle
# Controller: PID
# Circle: tilt 10.0 deg, W1=0.2 rad/s
# Geometry[in]: H1=13.28 H2=9.51 R=6.2 ELL=0.6 measured=True
# TiltLimit: 45.0 deg   Ts: 0.002s   Duration: 60s
# t	e1	e2	x1	x2	xd1	xd2	u1	u2	phi	theta	tilt	dt	G11	G22	d1	d2	y1	y2
0.0020	0.00	0.00	2.0	-1.0	-4793.8	-348.8	-0.0000	-0.0000	-0.00004	-0.00008	0.005	0.002001	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0043	0.02	0.00	2.0	-1.0	-4793.8	-350.9	-0.0001	-0.0000	-0.00004	-0.00008	0.005	0.002348	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0060	0.04	0.00	2.0	-1.0	-4793.8	-352.4	-0.0002	-0.0000	-0.00004	-0.00008	0.005	0.001651	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0080	0.08	0.01	2.0	-1.0	-4793.8	-354.1	-0.0003	-0.0000	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0100	0.12	0.01	2.0	-1.0	-4793.8	-355.9	-0.0005	-0.0000	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0120	0.17	0.01	2.0	-1.0	-4793.8	-357.7	-0.0007	-0.0001	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0140	0.23	0.02	2.0	-1.0	-4793.8	-359.4	-0.0010	-0.0001	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0160	0.31	0.02	2.0	-1.0	-4793.8	-361.2	-0.0013	-0.0001	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0180	0.39	0.03	2.0	-1.0	-4793.8	-362.9	-0.0016	-0.0001	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0200	0.48	0.04	2.0	-1.0	-4793.8	-364.7	-0.0020	-0.0001	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0220	0.58	0.04	2.0	-1.0	-4793.8	-366.5	-0.0024	-0.0002	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0240	0.69	0.05	2.0	-1.0	-4793.8	-368.2	-0.0028	-0.0002	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0260	0.81	0.06	2.0	-1.0	-4793.7	-370.0	-0.0033	-0.0003	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0280	0.94	0.07	2.0	-1.0	-4793.7	-371.8	-0.0038	-0.0003	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0300	1.08	0.08	2.0	-1.0	-4793.7	-373.5	-0.0044	-0.0003	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0320	1.23	0.10	2.0	-1.0	-4793.7	-375.3	-0.0050	-0.0004	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0340	1.39	0.11	2.0	-1.0	-4793.7	-377.1	-0.0056	-0.0004	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
0.0360	1.55	0.12	2.0	-1.0	-4793.7	-378.8	-0.0063	-0.0005	-0.00004	-0.00008	0.005	0.002000	80000.000000	80000.000000	0.0000	0.0000	0.0000	0.0000
