# URI 2026 Linear Actuator Experiment
# Mode: Tracking
# Controller: SlidingMode
# Sine: 1.0 in amplitude, 40.0s period
# Ts: 0.001s  Duration: 20.0s
# t	e	x	xd	u	dt
0.0010	-0.6474	0.0000	0.6474	0.0100	0.001002
0.0021	-1.3582	0.0000	1.3582	0.0213	0.001100
0.0030	-1.9393	0.0000	1.9393	0.0307	0.000899
0.0040	-2.5857	0.0000	2.5857	0.0412	0.001000
0.0061	-3.9368	0.0000	3.9368	0.0638	0.002090
0.0065	-4.1733	0.0000	4.1733	0.0677	0.000366
0.0070	-4.5248	0.0000	4.5248	0.0736	0.000544
0.0080	-5.1712	0.0000	5.1712	0.0845	0.001000
0.0090	-5.8176	0.0000	5.8176	0.0955	0.001000
0.0100	-6.4640	0.0000	6.4640	0.1066	0.001000
0.0110	-7.1104	0.0000	7.1104	0.1177	0.001000
0.0120	-7.7568	0.0000	7.7568	0.1289	0.001000
0.0130	-8.4032	0.0000	8.4032	0.1401	0.001000
0.0140	-9.0495	0.0000	9.0495	0.1513	0.001000
0.0150	-9.6959	0.0000	9.6959	0.1625	0.001000
0.0160	-10.3423	0.0000	10.3423	0.1737	0.001000
0.0170	-10.9887	0.0000	10.9887	0.1850	0.001000
0.0180	-11.6351	0.0000	11.6351	0.1962	0.001000
0.0190	-12.2814	0.0000	12.2814	0.2074	0.001000
0.0200	-12.9279	0.0000	12.9279	0.2186	0.001000
0.0210	-13.5743	0.0000	13.5743	0.2298	0.001000
0.0220	-14.2206	0.0000	14.2206	0.2410	0.001000
0.0230	-14.8670	0.0000	14.8670	0.2521	0.001000
0.0240	-15.5134	0.0000	15.5134	0.2632	0.001000
0.0250	-16.1597	0.0000	16.1597	0.2742	0.001000
0.0260	-16.8061	0.0000	16.8061	0.2851	0.001000
0.0270	-17.4525	0.0000	17.4525	0.2961	0.001000
0.0280	-18.0989	0.0000	18.0989	0.3069	0.001000
0.0290	-18.7453	0.0000	18.7453	0.3177	0.001000
0.0300	-19.3917	0.0000	19.3917	0.3284	0.001000
0.0310	-20.0380	0.0000	20.0380	0.3390	0.001000
0.0320	-20.6843	0.0000	20.6843	0.3495	0.001000
0.0330	-21.3308	0.0000	21.3308	0.3600	0.001000
0.0340	-20.9771	1.0000	21.9771	0.3702	0.001000
0.0350	-21.6235	1.0000	22.6235	0.3803	0.001000
0.0360	-22.2699	1.0000	23.2699	0.3904	0.001000
0.0370	-22.9163	1.0000	23.9163	0.4003	0.001000
0.0380	-23.5626	1.0000	24.5626	0.4101	0.001000
0.0390	-24.2090	1.0000	25.2090	0.4199	0.001000
0.0400	-24.8553	1.0000	25.8553	0.4295	0.001000
0.0410	-25.5017	1.0000	26.5017	0.4390	0.001000
0.0420	-26.1480	1.0000	27.1480	0.4483	0.001000
0.0430	-26.7944	1.0000	27.7944	0.4576	0.001000
0.0440	-27.4408	1.0000	28.4408	0.4667	0.001000
0.0450	-27.0871	2.0000	29.0871	0.4756	0.001000
0.0460	-27.7336	2.0000	29.7336	0.4844	0.001000
0.0470	-28.3799	2.0000	30.3799	0.4930	0.001000
0.0480	-29.0264	2.0000	31.0264	0.5015	0.001000
0.0490	-29.6726	2.0000	31.6726	0.5099	0.001000
0.0500	-30.3190	2.0000	32.3190	0.5181	0.001000
0.0510	-30.9654	2.0000	32.9654	0.5263	0.001000
0.0520	-30.6117	3.0000	33.6117	0.5341	0.001000
0.0530	-31.2581	3.0000	34.2581	0.5418	0.001000
0.0540	-31.9044	3.0000	34.9044	0.5494	0.001000
0.0550	-32.5508	3.0000	35.5508	0.5568	0.001000
0.0560	-32.1972	4.0000	36.1972	0.5526	0.001000
0.0570	-32.8435	4.0000	36.8435	0.5483	0.001000
0.0580	-33.4899	4.0000	37.4899	0.5441	0.001000
0.0590	-33.1362	5.0000	38.1362	0.5394	0.001000
0.0600	-33.7826	5.0000	38.7826	0.5347	0.001000
0.0610	-34.4290	5.0000	39.4290	0.5301	0.001000
0.0620	-35.0754	5.0000	40.0754	0.5253	0.001000
0.0630	-34.7216	6.0000	40.7216	0.5203	0.001000
0.0640	-35.3680	6.0000	41.3680	0.5153	0.001000
0.0650	-36.0143	6.0000	42.0143	0.5103	0.001000
0.0660	-36.6607	6.0000	42.6607	0.5052	0.001000
0.0670	-36.3070	7.0000	43.3070	0.4999	0.001000
0.0680	-36.9534	7.0000	43.9534	0.4945	0.001000
0.0690	-37.5997	7.0000	44.5997	0.4892	0.001000
0.0700	-37.2460	8.0000	45.2460	0.4836	0.001000
0.0710	-37.8924	8.0000	45.8924	0.4779	0.001000
