# URI 2026 Dual Actuator TVC Experiment
# Mode: Random
# Controller: PID
# Figure-eight: W0=10.0 deg, W1=0.2 rad/s
# Geometry[in]: H1=13.28 H2=9.51 R=6.2 ELL=0.6 measured=True
# TiltLimit: 45.0 deg   Ts: 0.002s   Duration: 60s
# t	e1	e2	x1	x2	xd1	xd2	u1	u2	phi	theta	tilt	dt
0.0020	-0.00	0.00	0.0	0.0	3.0	-0.5	0.0044	-0.0044	0.00000	0.00000	0.000	0.002001
0.0040	-0.00	0.00	0.0	0.0	6.0	-1.0	0.0002	-0.0002	0.00000	0.00000	0.000	0.002000
0.0060	-0.00	0.00	0.0	0.0	9.0	-1.5	-0.0045	0.0045	0.00000	0.00000	0.000	0.002000
0.0080	-0.00	0.00	0.0	0.0	12.0	-2.0	-0.0001	0.0001	0.00000	0.00000	0.000	0.002000
0.0100	-0.00	0.00	0.0	0.0	15.0	-2.5	0.0045	-0.0045	0.00000	0.00000	0.000	0.002000
0.0120	-0.00	0.00	0.0	0.0	17.9	-3.0	0.0001	-0.0001	0.00000	0.00000	0.000	0.002000
0.0140	-0.00	0.00	0.0	0.0	20.9	-3.5	-0.0045	0.0045	0.00000	0.00000	0.000	0.002000
0.0160	-0.00	0.00	0.0	0.0	23.9	-4.0	-0.0001	0.0001	0.00000	0.00000	0.000	0.002000
0.0180	-0.00	0.00	0.0	0.0	26.9	-4.4	0.0045	-0.0045	0.00000	0.00000	0.000	0.002000
0.0200	-0.00	0.00	0.0	0.0	29.9	-4.9	0.0001	-0.0001	0.00000	0.00000	0.000	0.002000
0.0220	-0.00	0.00	0.0	0.0	32.9	-5.4	-0.0045	0.0045	0.00000	0.00000	0.000	0.002000
0.0240	-0.01	0.00	0.0	0.0	35.9	-5.9	-0.0001	0.0001	0.00000	0.00000	0.000	0.002000
0.0260	-0.01	0.00	0.0	0.0	38.9	-6.4	0.0045	-0.0045	0.00000	0.00000	0.000	0.002000
0.0280	-0.01	0.00	0.0	0.0	41.9	-6.9	0.0002	-0.0001	0.00000	0.00000	0.000	0.002000
0.0300	-0.01	0.00	0.0	0.0	44.8	-7.4	-0.0045	0.0045	0.00000	0.00000	0.000	0.002000
0.0320	-0.01	0.00	0.0	0.0	47.8	-7.9	-0.0000	0.0001	0.00000	0.00000	0.000	0.002000
0.0340	-0.01	0.00	0.0	0.0	50.8	-8.4	0.0046	-0.0045	0.00000	0.00000	0.000	0.002000
0.0360	-0.02	0.00	0.0	0.0	53.8	-8.9	0.0002	-0.0001	0.00000	0.00000	0.000	0.002000
0.0380	-0.02	0.00	0.0	0.0	56.8	-9.4	-0.0044	0.0045	0.00000	0.00000	0.000	0.002000
0.0400	-0.02	0.00	0.0	0.0	59.8	-9.9	0.0000	0.0001	0.00000	0.00000	0.000	0.002000
0.0420	-0.03	0.00	0.0	0.0	62.8	-10.4	0.0047	-0.0045	0.00000	0.00000	0.000	0.002000
0.0440	-0.03	0.01	0.0	0.0	65.7	-10.9	0.0003	-0.0001	0.00000	0.00000	0.000	0.002000
0.0460	-0.04	0.01	0.0	0.0	68.7	-11.4	-0.0043	0.0045	0.00000	0.00000	0.000	0.002000
0.0480	-0.04	0.01	0.0	0.0	71.7	-11.9	0.0001	0.0001	0.00000	0.00000	0.000	0.002000
0.0500	-0.05	0.01	0.0	0.0	74.7	-12.4	0.0047	-0.0046	0.00000	0.00000	0.000	0.002000
